ttid , smile
D00DJC , CCOC(=O)C1C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCNC3=NCCN3
D00DJE , C1C(CC2=CC=CC=C21)NC3=NC=NC4=CC=CC=C43
D00DJX , C1CCN(CC1)CCOC2=CC=C(C=C2)C3C4=C(CCOC5=C4C=CC(=C5)O)C6=C(O3)C=C(C=C6)O
D00DKK , CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
D00DLU , CCCCN(CC1=CC(=C(C(=C1)Cl)O)Cl)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O
D00DNT , CCCCCC(C)(C)C1=CC=C(C=C1)C2CCCC(C2)O
D00DNY , CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C
D00DPJ , COC1=[N+](N=CC(=C1)N)C2=CC=CC=C2
D00DPP , C1CCC(C1)N.C(C(C(=O)[O-])O)C(=O)[O-].N.[Pt+2]
D00DPX , COCCN1C(=NN=N1)C(C2=CC3=C(C=CC(=C3)OC)NC2=O)N(CCC4=CC=CC=C4)CC5=CC=CC=C5
D00DQX , CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
D00DQZ , CC(=O)SCC(=O)CCCCCCC(=O)NC1=CC=CC=C1
D00DRL , CN1C=C(C=N1)C2=CC3=C(C=CC4=C(C3=O)C=C(C=C4)NS(=O)(=O)N(C)CC5COCCO5)N=C2
D00DSE , C1=CC(=CC(=C1)F)C2=CC=C(C=C2)CC3=CC=NC=C3
D00DSQ , C1=CC(=CC=C1CCNC(=S)NC2=NC=C(C=C2)Br)O
D00DSW , CC1=C(SC(=N1)N2C(=CC(=N2)C3=CC=CC=C3)C4=CC=CC=C4)C(=O)C=CC5=CC(=CC=C5)[N+](=O)[O-]
D00DUJ , C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)C4=CN=CC=C4
D00DXB , C1CC(CNC1)C(CS)C(=O)O
D00DXC , CC1C2=C(C=CC(=C2)F)OCCOC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C
D00DXI , CC1=CC(=C(C=C1N=NC2=C(C=C(C(=C2)C)O)N)S(=O)(=O)O)C
D00DXV , COC1=C(C(=C(C(=C1)O)CSCC(C2=NOCCO2)NC3=NC(=CS3)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)OC)Br
D00DYI , C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)O
D00DYK , CC(CC=CS(=O)(=O)C(C)(C)C)C1=CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
D00DZN , C1=CC=C(C=C1)CNC(=O)CCCl
D00DZY , C1CN(CCN1)C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C3
D00EBH , CC(C)(CSC1=NC2=CC=CC=C2C=C1C3=CC=CC=C3)N(C)C.Cl
D00ECB , CC1=C(C(C(=C(N1)C)C(=O)OCC(C)O[N+](=O)[O-])C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCCO[N+](=O)[O-]
D00ECO , CN1CCCC1CCSC2=CC=C(C=C2)O
D00ECV , CC(C1=CC=C(C=C1)S(=O)(=O)C2=C(C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)OC)NS(=O)(=O)C
D00ECX , COC(=O)CNC(=O)C1=C(C=C(C=N1)C2=CC=C(C=C2)Cl)O
D00EEL , C1CNCC2=C1C(=O)NO2
D00EEU , CC(C)CC(C(=O)NC(CCSC)C(=O)N)NC(=O)CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)NC(=O)C(C)NC(=O)C3CCCN3C(=O)C(CCCCN)NC(=O)C4CCCN4C(=O)C(CCCN=C(N)N)N
D00EFA , C1CN2CCC1C3(C2)CC4=C(O3)N=CC(=C4)NC(=O)NC5=CC=CC=C5
D00EFT , CCCCC(C(=O)O)N
D00EGV , C1=CC=C(C=C1)CCNCC2=CC(=CC=C2)OC3=CC=CC=C3
D00EHP , CC1=CC(=C(C(=C1)C)S(=O)(=O)N2C=C(C=C2C)C)C
D00EHX , C1CN(CCN1C2=NN=C(C=C2C3=CC=NC=C3)C4=CC=CC=C4)C5=NC=CC=N5
D00EIL , CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O
D00EJS , C1=CC2=C(C=CN2)C=C1O
