cid,isosmiles,canonicalsmiles
139528552,CCCCC(CC#N)N1C=CC(=N1)C2=C3C=CNC3=NC=N2,CCCCC(CC#N)N1C=CC(=N1)C2=C3C=CNC3=NC=N2
121334540,CCCCCC(CN1C=C(C=N1)C2=C3C=CNC3=NC=N2)C#N,CCCCCC(CN1C=C(C=N1)C2=C3C=CNC3=NC=N2)C#N
72704615,[2H]C1(CCCC1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
68394724,CC1=C(C2=C(NC=C2)N=N1)C3=CN(N=C3)[C@@H](CC#N)C4CCCC4,CC1=C(C2=C(NC=C2)N=N1)C3=CN(N=C3)C(CC#N)C4CCCC4
136246083,[2H]C1=C(N=C2C1=C(NC(=N2)[2H])C3=CN(N=C3)[C@@]([2H])(CC#N)C4C(C(C(C4([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])[2H],C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CN=C4N=CN3
144974335,CC1=NC(=C2C=CNC2=N1)C3=CN(N=C3)C(CC#N)C4CCCC4,CC1=NC(=C2C=CNC2=N1)C3=CN(N=C3)C(CC#N)C4CCCC4
145418006,CC.CC.C1CCC(C1)C(CC#N)N2C=C(C(=N2)N)C3=C4C=CNC4=NC=N3,CC.CC.C1CCC(C1)C(CC#N)N2C=C(C(=N2)N)C3=C4C=CNC4=NC=N3
144974322,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=C3F,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=C3F
126663576,CCNC1=CC=CC(=C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,CCNC1=CC=CC(=C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
136246101,[2H]C1=C(N=C2C1=C(NC(=N2)[2H])C3=CN(N=C3)[C@@H](C4(CCCC4)[2H])C([2H])([2H])C#N)[2H],C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CN=C4N=CN3
42645768,CC1=C(SC(=N1)NC(=O)N2CCC[C@@]2(C)C(=O)N)C3=CC(=NC=C3)C4(CCC4)C,CC1=C(SC(=N1)NC(=O)N2CCCC2(C)C(=O)N)C3=CC(=NC=C3)C4(CCC4)C
155676847,CC1=C(SC(=N1)NC(=O)NC(=O)[C@@H]2CCCN2)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,CC1=C(SC(=N1)NC(=O)NC(=O)C2CCCN2)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
71682654,CC1=C(SC(=N1)NC(=O)N2CCC[C@@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C
164011193,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=[18O])N)C3=CC(=NC=C3)C(C)(C)C,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C
57748158,C[C@]1(CCCN1C(=O)NC2=NC=C(S2)C3=CC(=NC=C3)C4(CCC4)C(F)(F)F)C(=O)N,CC1(CCCN1C(=O)NC2=NC=C(S2)C3=CC(=NC=C3)C4(CCC4)C(F)(F)F)C(=O)N
90059468,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)NC)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)NC)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
75306310,CC1=C(SC(=N1)NC(=O)N2CCC(C2C(=O)N)(C)C)C3=CC(=NC=C3)C4(CC4)C,CC1=C(SC(=N1)NC(=O)N2CCC(C2C(=O)N)(C)C)C3=CC(=NC=C3)C4(CC4)C
42646987,[2H]C([2H])([2H])C1(CC1)C2=NC=CC(=C2)C3=C(N=C(S3)NC(=O)N4CCC[C@@]4(C)C(=O)N)C,CC1=C(SC(=N1)NC(=O)N2CCCC2(C)C(=O)N)C3=CC(=NC=C3)C4(CC4)C
91971907,CC1=C(SC(=N1)NC(=O)[15N]2[13CH2][13CH2][13CH2][13C@H]2[13C](=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
129130542,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)C)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)C)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
23650383,CC(=O)O.CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,CC(=O)O.CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
59593168,CC(C1=CC2=C(S1)C(=NC(=N2)C3=C4C=NNC4=CC=C3)N5CCOCC5)N6CCN(CC6)S(=O)(=O)C,CC(C1=CC2=C(S1)C(=NC(=N2)C3=C4C=NNC4=CC=C3)N5CCOCC5)N6CCN(CC6)S(=O)(=O)C
143572151,CC(C)S(=O)N1CCN(CC1)CC2=CC3=C(N=C(N=C3S2)C4=C5C=NNC5=CC=C4)N6CCOCC6,CC(C)S(=O)N1CCN(CC1)CC2=CC3=C(N=C(N=C3S2)C4=C5C=NNC5=CC=C4)N6CCOCC6
59593028,CN1CCN(CC1)S(=O)(=O)C2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,CN1CCN(CC1)S(=O)(=O)C2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
123439184,CS(=O)(=O)N1C[C@@H]2C[C@H]1CN2CC3=CSC4=C3N=C(N=C4N5CCOCC5)C6=C7C=NNC7=CC=C6,CS(=O)(=O)N1CC2CC1CN2CC3=CSC4=C3N=C(N=C4N5CCOCC5)C6=C7C=NNC7=CC=C6
